,ref_id,client_division,description,vendor,contract_value,contract_date,type,date_won,currency
1277,GM23.11,Information & Technology,"For the provision of new Oracle licenses from January 1, 2018 to December 31, 2022.",Oracle Canada Ulc,5000000.0,04/24/2018,non-competitive,,CAD
134,10953,Fleet Services,"For the provision of supply and delivery of tires for the City's Class 1 to Class 8 vehicles, trailers,,construction, and agricultural equipment for the initial period from November 1, 2020, to October 31, 2025,,with the option to renew the contract for one (1) additional five (5) years from November 1, 2025, to October,31, 2030.",GOODYEAR CANADA INC,4907363.0,07/29/2021,non-competitive,,CAD
2114,8291,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",PAVE-TAR CONSTRUCTION LTD,4749696.0,01/11/2014,non-competitive,,CAD
2437,Doc2659801647,Solid Waste Management Services,Engineering & Consulting Services – New Organics Processing Facility,GHD LIMITED,4748652.97,,competitive,12/21/2021,CAD
647,10925,Facilities Operations,"For the provision of Custodial Services at various Senior Services & Long Term Care and Shelter, Support & Housing Administration locations to support the COVID-19 Pandemic Emergency.",KLEENWAY BUILDING MAINTENANCE ,4621691.0,07/30/2020,non-competitive,,CAD
2037,8353,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Blackstone Paving & Construction Ltd.,4517251.2,02/11/2014,non-competitive,,CAD
2141,8268,Solid Waste Management Services,"For the non-exclusive supply of all labour, equipment and material necessary to perform Tree Pruning and Removal (Type I - 55' Aerial Bucket and chip box) at various locations for the Parks, Forestry and Recreation Division during the period from January 3, 2014 to June 30, 2014, all in accordance with the Specifications and Terms & Conditions of RFQ #3701-12-0256",ONTARIO LINE CLEARING & TREE SERVICES 2010 LTD,4411804.8,01/03/2014,non-competitive,,CAD
991,GL3.6,City Clerk's Office,"AMENDMENT #4 - May 13, 2019 (NC# 9913),Added Line Items 250, 260, 270 and 280 to the Purchase Order for additional services & estimated expenses all in accordance with the Subordinate Agreement 5 to the Ontario Master Agreement for Enterprise Information Management Products and Services dated May 19, 2009 and made pursuant to the Master Agreement Acknowledgement between Open Text Corporation and City of Toronto dated June 14, 2016.",OPEN TEXT CORPORATION,4171462.6,05/14/2019,non-competitive,,CAD
2272,Doc2906322747,"Parks, Forestry & Recreation","Request for Tenders - State of Good Repair work at Earl Bales Park Amphitheatre at 4169 Bathurst Street, Toronto M3H 3P7",BROOK RESTORATION LTD,4138252.0,,competitive,11/24/2021,CAD
31,11537,Human Resources,"AUTHORITY: GL22.16, Adopted by City Council on May 5 and 6, 2021,For the provision of annual license fees for the City's Enterprise Learning/Talent Management System and Online Content Libraries, elearning content and additional modules/products/services for a three (3) year period from January 1, 2022 to December 31, 2024, all in accordance with the Agreement effective January 1, 2022. The City shall be entitled to renew this Agreement on the same terms and conditions for two (2) additional terms of twelve (12) months each (each a ""Renewal Term"").",Cornerstone OnDemand,4126016.0,01/01/2022,non-competitive,,CAD
822,10260,"Shelter, Support & Housing Administration",for the provision of emergency Hotel Services for clients of the City's Directly Operated Shelters,COMFORT HOTEL AIRPORT NORTH,4054019.0,01/27/2020,non-competitive,,CAD
2421,24855648594(9118-20-5042),- Choose one -,Architectural Services,MACLENNAN JAUNKALNS MILLER ARCHITECTS,3986800.0,,competitive,06/04/2021,CAD
2422,28455648594(9117-20-5042),"Parks, Forestry & Recreation",New John Innes CRC,Maclennan Jaunkalns Miller Architects,3986800.0,,competitive,06/04/2021,CAD
2348,Doc2854100886 /45-2021 ,Engineering & Construction Services - Engineering Services,"Replacement of watermain on Broadview Avenue from Gerrard Street East to Danforth Avenue, and on Montcrest Blvd from Bro",GIO-CRETE CONSTRUCTION LTD,3872500.0,,competitive,05/11/2021,CAD
246,11735,Information & Technology,"AUTHORITY: GL16.5 Adopted by City Council on October 27, 28, and 30, 2020.,For the provision of the annual software support and maintenance for license renewals for 2021.",SAP CANADA INC,3850184.23,05/14/2021,non-competitive,,CAD
1699,GM8.8,Information & Technology,"For the provision of SAP software support and maintenance during the period of January 1, 2016 to December 31, 2016",SAP CANADA INC,3793008.31,12/23/2015,non-competitive,,CAD
2290,Doc2722421358 (21-2021),Solid Waste Management Services,"Demolition, Construction, and Salvage of Material Recovery Sorting Equipment and Other Upgrades to the Dufferin Transfer",BROOK RESTORATION LTD,3722786.0,,competitive,08/26/2021,CAD
2450,DOC2863614355 (9117-21-7067),Engineering & Construction Services - Capital Works Delivery,Highland Creek Treatment Plant Sludge Storage Tanks Cleaning and Biofilter Upgrades,AECOM Canada Ltd.,3685206.0,,competitive,07/14/2021,CAD
406,11201,Fleet Services,"AUTHORITY: GL19.16 adopted by City Council on December 16, 17 and 18, 2020,AMENDMET # 2 January 28, 2021 (NCPR 11201),Added line items 270 to 330 to include the supply of labour, parts, materials, equipment necessary to,perform mechanical and structural inspections, repairs, and certification for the City's Original Equipment,Manufacturer vehicles mounted lifting devices on Fassi and National cranes, effective from February 1,,2021 to October 31, 2021 with the option to renew the contract for the three (3) additional separate one (1),year periods.,No change in the overall contract value",STRONGCO LP,3606658.37,01/28/2021,non-competitive,,CAD
2063,GM 16.5,Information & Technology,"Extended the expiry date to December 31, 2014 and added Line 50 in the amount of $3,577,737.43, net of all taxes and charges, from $10,029,344.41 to $13,607,081.84, net of all taxes and charges, for 2014 software licence maintenance for the period from January 1, 2014 to December 31, 2014.",SAP Canada Inc.,3577737.43,02/04/2014,non-competitive,,CAD
2265,Doc2711670400,Engineering & Construction Services - Engineering Services,"Road Resurfacing on Spanbridge Road, St. Dennis Dr and Wynford Dr; Road Reconstruction on Linkwood Ln and Wynford Dr R",VIOLA MANAGEMENT INC ,3507882.0,,competitive,03/15/2021,CAD
2329,Doc2979180510,Transportation Services,The permanent restoration of utility cuts and maintenance repairs of roads.,AQUA TECH SOLUTIONS INC,3427535.0,,competitive,07/29/2021,CAD
2345," Doc2899083119 (21TR-OM-116-NY-TM, 85-2021)",Transportation Services,Repairs to Roads and Sidewalks including Retaining Wall and Guide Rail Repairs,Sanscon Construction Ltd,3426371.0,,competitive,05/12/2021,CAD
442,11324,Transportation Services,"For the supply, equipment and material necessary Snow Clearing, Sanding and Salting of Sidewalks, Bus Stops, Pedestrian Crosswalks (PXO's) and Signalized Intersections for City of Toronto, Scarborough District, Northeast Quadrant for the period from December 22, 2020 to March 31, 2022. All in accordance with the Agreement made effective December 22, 2020.",Maple-Crete Inc.,3419065.41,12/22/2020,non-competitive,,CAD
2415,Doc3099929980,Fleet Services,Request for Quotation for Supply and Delivery of Five (5) Latest Model Conventional Cab And Truck Chassis Low Profile ,Rush Truck Centres of Canada,3399729.11,,competitive,11/22/2021,CAD
887,GL5.11,Employment & Social Services,"For the provision of the professional services for the Digitization and Storage of the City of Toronto's,Ontario Works Paper Files.",NIMBLE INFORMATION STRATEGIES INC,3361782.6,10/25/2019,non-competitive,,CAD
1142,GM8.8,Information & Technology,Renewal - for the 2019 Oracle Technical Support Services,ORACLE CANADA ULC,3359798.24,12/06/2018,non-competitive,,CAD
2374,Doc2939830903,Information & Technology,Check Point Products and Maintenance Services,HoneyTek Systems Inc.,3356874.99,,competitive,07/26/2021,USD
2077,8339,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",VAUGHAN PAVING LTD,3351600.0,01/18/2014,non-competitive,,CAD
1157,9459,Facilities Design & Construction,"For the provision of emergency building renovations to complete time-sensitive shelter construction at 3306 Kingston Road, Toronto.",Steelcore Construction Ltd.,3250000.0,11/28/2018,non-competitive,,CAD
151,11703,Transportation Services,"For the provision of flashing beacons as part of the rollout to better equip designated school safety zones for the period from June 15, 2021 to June 14, 2022, all in accordance with the quotation from Fortran Traffic Systems Ltd. dated April 1, 2021.",FORTRAN TRAFFIC SYSTEMS LTD,3250000.0,06/15/2021,non-competitive,,CAD
2418,3092946006,- Choose one -,Processing Services of Yard Waste,WALKER ENVIRONMENTAL GROUP INC,3245445.17,,competitive,12/08/2021,CAD
1375,9028,"Shelter, Support & Housing Administration","To add the amount of $3,100,000, net of all taxes until December 31, 2017, to increase the value from $1,200,000 to $4,300,000. For the provision of emergency accommodation/lodging services at Radisson Hotel Toronto East to respond to our refugee crisis.",Radisson Hotel Toronto ,3100000.0,11/22/2017,non-competitive,,CAD
1374,9027,"Shelter, Support & Housing Administration","To add the amount of $3,100,000, net of all taxes until December 31, 2017, to increase the value from $1,200,000 to $4,300,000. For the provision of emergency food services at Radisson Hotel Toronto East to respond to our refugee crisis.",Radisson Hotel Toronto ,3100000.0,11/22/2017,non-competitive,,CAD
2277,DOC2959483665 (102-2021),Toronto Water,Full Length Trenchless Rehabilitation of Large Diameter Circular and Non-Circular Gravity Sewers and Related Works,Clean Water Works Inc.,3071650.0,,competitive,08/25/2021,CAD
2248,Doc2854052882 / 53-2021,Transportation Services,"PERMANENT REPAIRS TO UTILITY CUTS ON ARTERIAL, COLLECTOR AND LOCAL ROADS. CITY OF TORONTO, NORTH YORK DISTRICT WARDS 15,",VAUGHAN PAVING LTD ,3051400.0,,competitive,04/27/2021,CAD
1343,GM21.11,Information & Technology,"For the provision of SAP proprietary software subscriptions for the SAP SuccessFactors solution for the Enterprise Wide Transformation Projects for the period from December 15, 2017 to December 14, 2019.",SAP CANADA INC,2991263.0,12/19/2017,non-competitive,,CAD
538,10781,Real Estate Services,"For the provision of the emergency construction management services required due to unforeseen,structural issues discovered at Union Station East Wing (USEW) through the course of the project",CENTURY GROUP INC,2968877.09,11/12/2020,non-competitive,,CAD
